node_id,label,feat
0,2.0,"0.40517133,-0.9502462,0.36703837,-1.529257,-0.24418685,1.2515068,1.2017483,0.28646117,1.4735649,-0.73288125,True,False,False,90,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1583506,0.8103567,-1.2960758,1.4137113,-1.1479728,-0.6031716,-0.24449886,-1.0768569,-0.8258033,0.5581243,0.0,True,False,False,False,False,False,1,0,1,0,1,0,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.1740167174460356,-0.1002295286811243,-0.1367554238728276,0.2543570805742188,0.0839410611958714,-0.0105367435004866,-0.1355107530357375,-0.0518744069571996,-0.0148222439101381,0.103049944009988,3.0,True,False,False,False,False,False,0.87222123,-2.68832,1.2808288,-1.3188844,-0.46759194,-0.27984637,0.4585647,1.0117509,0.36070698,0.5700313,0.1959962528816112,0.0055583753392714,-0.0024070370210551,-0.0003566421216298,4.86459858463279e-05,0.0009499803260966,-0.0003926932186165,-0.0002923867888542,-0.0003761056827788,0.0008079640031222,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,90.0,False,False,False,True"
1,0.0,"-0.47442126,-1.2744191,0.28237468,-1.0793469,0.67477316,-0.23692842,2.1590488,-1.0238436,2.587271,-0.050583355,True,False,False,1155,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4724922,1.1463282,-0.98272735,0.11132547,-0.53022575,-0.16440259,-1.2155092,1.8267454,0.8441205,-0.44666395,0.0,False,False,True,False,False,False,1,0,1,0,1,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.165385912364201,-0.1320209856570925,0.1372675644668008,-0.0034465005572593,-0.1203537451539382,-0.1735924195573263,0.0625615456929829,0.0086852438381458,-0.0104051932357899,-0.0158812969152692,0.0,False,False,False,True,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,-0.5690825525558405,-0.5651086991133464,-0.0807740092354397,-0.0426064969365777,-0.090905199168711,-0.0110521071513958,-0.0750954184492477,0.0663237599364734,-0.067993797163136,0.1587767163808754,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1155.0,False,False,False,True"
2,0.0,"-0.47442126,-1.2744191,0.28237468,-1.0793469,0.67477316,-0.23692842,2.1590488,-1.0238436,2.587271,-0.050583355,True,False,False,1155,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6222868,-0.4513492,1.2816511,-1.1411126,-1.0722964,-2.1221695,1.3331523,-0.117879175,-0.790325,0.7984758,0.0,True,False,False,False,False,False,1,0,0,0,0,0,1,1,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.165385912364201,-0.132020985657093,0.1372675644668007,-0.0034465005572608,-0.1203537451539373,-0.1735924195573272,0.0625615456929823,0.0086852438381442,-0.0104051932357891,-0.0158812969152679,0.0,False,False,False,True,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,-0.5690825525558405,-0.5651086991133466,-0.0807740092354416,-0.0426064969365715,-0.0909051991687085,-0.0110521071513933,-0.0750954184492491,0.0663237599364743,-0.0679937971631382,0.1587767163808733,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1155.0,False,False,False,True"
3,0.0,"-0.47442126,-1.2744191,0.28237468,-1.0793469,0.67477316,-0.23692842,2.1590488,-1.0238436,2.587271,-0.050583355,True,False,False,1155,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01084836,-0.09207491,-1.2150624,1.0163385,0.10127712,1.1003699,0.30593008,0.6137742,-0.48328075,0.14006068,0.0,False,False,True,False,False,False,1,0,0,0,0,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.165385912364201,-0.132020985657093,0.1372675644668007,-0.0034465005572601,-0.1203537451539374,-0.1735924195573274,0.0625615456929827,0.0086852438381443,-0.0104051932357891,-0.0158812969152677,0.0,False,False,False,True,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,-0.5690825525558405,-0.5651086991133467,-0.080774009235442,-0.0426064969365716,-0.0909051991687114,-0.0110521071513942,-0.0750954184492487,0.066323759936473,-0.0679937971631388,0.158776716380874,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1155.0,False,False,False,True"
4,0.0,"-0.47442126,-1.2744191,0.28237468,-1.0793469,0.67477316,-0.23692842,2.1590488,-1.0238436,2.587271,-0.050583355,True,False,False,1155,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.37177974,-3.1293173,-0.2894917,-0.9632266,0.73380494,-0.5014614,2.2217922,0.93371797,-1.4359217,-0.48692346,0.0,False,False,True,False,False,False,1,0,1,1,0,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.165385912364201,-0.132020985657093,0.1372675644668007,-0.0034465005572602,-0.1203537451539372,-0.1735924195573271,0.0625615456929823,0.008685243838145,-0.0104051932357897,-0.0158812969152679,0.0,False,False,False,True,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,-0.5690825525558405,-0.5651086991133467,-0.080774009235442,-0.0426064969365717,-0.0909051991687099,-0.0110521071513934,-0.0750954184492467,0.0663237599364728,-0.0679937971631386,0.1587767163808728,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1155.0,False,False,False,True"
5,2.0,"0.33147663,-0.10215692,-1.254612,-0.5012699,0.024769478,-1.293779,-0.5032107,-0.34898832,1.1794455,1.3424199,True,False,False,1057,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4724922,1.1463282,-0.98272735,0.11132547,-0.53022575,-0.16440259,-1.2155092,1.8267454,0.8441205,-0.44666395,0.0,True,False,False,False,False,False,1,0,0,0,0,0,1,1,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.2209871379072058,-0.0871086758097985,-0.0940505160222093,0.1748525148785496,-0.0592197098240586,-0.0683991769282702,-0.074757973346825,0.0049428675435056,-0.0015871807162728,-0.0044127276538984,3.0,True,False,False,False,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,0.1959962528816112,0.0055583753392774,-0.0024070370210469,-0.0003566421216351,4.864598584084247e-05,0.0009499803260953,-0.0003926932186144,-0.0002923867888569,-0.0003761056827767,0.0008079640031251,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1057.0,False,False,False,True"
6,2.0,"0.33147663,-0.10215692,-1.254612,-0.5012699,0.024769478,-1.293779,-0.5032107,-0.34898832,1.1794455,1.3424199,True,False,False,1057,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.01084836,-0.09207491,-1.2150624,1.0163385,0.10127712,1.1003699,0.30593008,0.6137742,-0.48328075,0.14006068,0.0,True,False,False,False,False,False,1,0,1,1,0,0,0,0,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.2209871379072058,-0.0871086758097985,-0.0940505160222093,0.1748525148785495,-0.0592197098240583,-0.0683991769282702,-0.0747579733468241,0.0049428675435054,-0.0015871807162736,-0.0044127276538987,3.0,True,False,False,False,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,0.1959962528816112,0.0055583753392774,-0.0024070370210469,-0.0003566421216351,4.86459858408243e-05,0.0009499803260953,-0.0003926932186141,-0.000292386788856,-0.000376105682777,0.0008079640031243,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1057.0,False,False,False,True"
7,2.0,"0.33147663,-0.10215692,-1.254612,-0.5012699,0.024769478,-1.293779,-0.5032107,-0.34898832,1.1794455,1.3424199,True,False,False,1057,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01084836,-0.09207491,-1.2150624,1.0163385,0.10127712,1.1003699,0.30593008,0.6137742,-0.48328075,0.14006068,0.0,True,False,False,False,False,False,1,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.2209871379072058,-0.0871086758097985,-0.0940505160222093,0.1748525148785495,-0.0592197098240581,-0.0683991769282703,-0.0747579733468247,0.0049428675435061,-0.0015871807162726,-0.0044127276538984,3.0,True,False,False,False,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,0.1959962528816112,0.0055583753392774,-0.0024070370210469,-0.0003566421216351,4.8645985840830505e-05,0.0009499803260956,-0.0003926932186143,-0.0002923867888563,-0.0003761056827775,0.0008079640031247,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1057.0,False,False,False,True"
8,2.0,"0.33147663,-0.10215692,-1.254612,-0.5012699,0.024769478,-1.293779,-0.5032107,-0.34898832,1.1794455,1.3424199,True,False,False,1057,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01084836,-0.09207491,-1.2150624,1.0163385,0.10127712,1.1003699,0.30593008,0.6137742,-0.48328075,0.14006068,0.0,True,False,False,False,False,False,1,0,1,0,1,0,0,0,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.2209871379072058,-0.0871086758097985,-0.0940505160222093,0.1748525148785495,-0.0592197098240581,-0.0683991769282703,-0.0747579733468246,0.0049428675435058,-0.0015871807162728,-0.0044127276538986,3.0,True,False,False,False,False,False,1.3523306,1.5276134,-0.7020912,0.3781315,0.10639744,1.2115601,1.2230929,0.024872532,-1.2204249,-0.26257455,0.1959962528816112,0.0055583753392774,-0.0024070370210469,-0.0003566421216351,4.86459858408427e-05,0.0009499803260957,-0.0003926932186148,-0.0002923867888565,-0.0003761056827778,0.0008079640031245,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1057.0,False,False,False,True"
9,0.0,"0.33147663,-0.10215692,-1.254612,-0.5012699,0.024769478,-1.293779,-0.5032107,-0.34898832,1.1794455,1.3424199,True,False,False,1387,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10200.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.28894788,0.13116232,1.0535395,-1.2725877,-0.328667,-1.5147699,1.2421559,-0.038933564,-0.13207546,-1.181991,0.0,False,True,False,False,False,False,1,0,1,1,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-0.12882872708059,0.0019150920110841,-0.0073252982023188,-0.0297060363531268,-0.0580431576933421,-0.1404846531975871,0.0333715453476401,0.0996560040430301,0.1219811846108913,-0.0226384996003016,10200.0,True,False,False,False,False,False,0.10610342,-0.45504013,-1.7704198,0.7295594,2.5725224,-1.1457722,-0.09248332,-0.65972084,-0.42510235,-1.0870092,0.1959962528816112,0.0055583753392774,-0.0024070370210469,-0.0003566421216351,4.864598584082412e-05,0.0009499803260957,-0.0003926932186142,-0.0002923867888561,-0.0003761056827771,0.0008079640031239,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1623.0,False,False,False,True"
